Site,Longitude,Latitude,Distance from Pad (m),Depth (cm),Soil Temperature (C),Soil Moisture (%),Soil pH
PB1,-148.42930958,70.19028808,0,5,19.9,0,8.4
PB1,-148.42865889,70.19019437,2,5,15.6,70.4,5.86
PB1,-148.42865889,70.19019437,2,15,10.7,43.1,5.85
PB1,-148.42970260,70.19031800,10,5,17.3,51.3,6.7
PB1,-148.42970260,70.19031800,10,15,14.6,44.8,6.65
DH1,-148.63967100,70.03182800,0,5,17.6,0,8.5
DH1,-148.64007400,70.03176900,5,5,14.2,55,5.5
DH1,-148.64007400,70.03176900,5,15,8.1,32,7.05
DH1,-148.64003300,70.03172500,10,5,12.6,58,5.65
DH1,-148.64003300,70.03172500,10,15,7.9,19.5,6.7
DH1,-148.64026700,70.03165600,20,5,8.8,33,5.77
DH1,-148.64026700,70.03165600,20,15,5.8,0,6.95
DH1,-148.64038800,70.03156600,30,5,10,61.6,6.53
DH1,-148.64038800,70.03156600,30,15,6.4,14,6.63
DH1,-148.64044500,70.03152800,40,5,9.4,12.9,6.06
DH1,-148.64044500,70.03152800,40,15,6.9,0,6.7
DH2,-148.66644100,70.00295400,0,5,19.9,0,7.61
DH2,-148.66630200,70.00301800,5,5,18.3,78.1,5.48
DH2,-148.66630200,70.00301800,5,15,10.9,27.7,6
DH2,-148.66632000,70.00310500,10,5,16.5,70.3,6
DH2,-148.66632000,70.00310500,10,15,11.3,0,6.2
DH2,-148.66635600,70.00314400,20,5,15.4,73.5,5.5
DH2,-148.66635600,70.00314400,20,15,10.2,13,5.63
DH2,-148.66594600,70.00315300,30,5,15.7,80.4,5.55
DH2,-148.66594600,70.00315300,30,15,9.9,21.6,5.94
DH2,-148.66583000,70.00320800,40,5,14.4,77.9,5
DH2,-148.66583000,70.00320800,40,15,10.6,0,6.12
DH2,-148.66557200,70.00327100,50,5,10.9,75.5,5.94
DH2,-148.66557200,70.00327100,50,15,8.6,19.5,5.82
DH2,-148.66528700,70.00332100,60,5,11.9,76.6,5.7
DH2,-148.66528700,70.00332100,60,15,8.5,67.7,5.9
DH3,-148.77718800,69.91955200,0,5,22.39,0,8.39
DH3,-148.77724600,69.91973600,5,5,17,63,5.9
DH3,-148.77724600,69.91973600,5,15,10,0,6.9
DH3,-148.77697700,69.91975200,10,5,14.8,35,5.69
DH3,-148.77697700,69.91975200,10,15,13.3,0,6.9
DH3,-148.77692100,69.91980400,20,5,15.9,58,5.48
DH3,-148.77692100,69.91980400,20,15,9,0,6.94
DH3,-148.77671000,69.91986400,30,5,14.8,62.3,5.88
DH3,-148.77671000,69.91986400,30,15,10.5,0,6.75
